"wa_id","mal_id","title","work_type","genre","release","score","top_place"
1,47,"Акира [Akira]","полнометражный фильм, 124 мин.","приключения, фантастика, мистика","16.07.1988",8.0,715
2,66,"Адзуманга [Azumanga Daioh]","ТВ (26 эп.), 25 мин.","комедия, повседневность","c 09.04.2002 по 01.10.2002",8.6,136
3,33,"Берсерк [ТВ-1] [Berserk]","ТВ (25 эп.), 25 мин.","приключения, фэнтези, драма","c 08.10.1997 по 01.04.1998",8.9,23
4,2611,"Большая панда и маленькая панда [Panda! Go, Panda!]","короткометражный фильм, 35 мин.","комедия, фэнтези","17.12.1972",7.8,1345
5,2183,"Высокий удар Аянэ [Ayane's High Kick]","OVA (2 эп.), 30 мин.","комедия, спорт","c 21.01.1997 по 25.04.1997",6.5,3620
6,339,"Эксперименты Лэйн [Serial Experiments Lain]","ТВ (13 эп.), 25 мин.","фантастика, драма","c 07.07.1998 по 29.09.1998",8.4,278
7,2754,"Клеопатра Ди-Си [Cleopatra D.C.]","OVA (3 эп.), 30 мин.","приключения","c 28.04.1989 по 24.05.1991",6.2,4005
8,227,"Фури-кури []","OVA (6 эп.), 25 мин.","комедия, фантастика","c 26.04.2000 по 16.03.2001",8.5,219
9,1952,"Ночные воины: Охотники на вампиров [Night Warriors: Darkstalkers' Revenge]","OVA (4 эп.), 40 мин.","приключения, фэнтези","c 21.03.1997 по 27.03.1998",6.8,3561
10,306,"Абэнобаси: Волшебный торговый квартал [Magical Shopping Arcade Abenobashi]","ТВ (13 эп.), 25 мин.","приключения, комедия, мистика","c 04.04.2002 по 27.06.2002",8.1,694
11,49,"Моя богиня! OVA-1 [Oh My Goddess!]","OVA (5 эп.), 30 мин.","комедия, романтика, фэнтези","c 21.02.1993 по 17.05.1994",8.2,459
12,304,"Моя богиня! (фильм) [Ah! My Goddess: The Movie]","полнометражный фильм, 111 мин.","приключения, романтика, фэнтези","21.10.2000",8.1,672
13,1734,"Адзиму: Пляжная история []","Web (4 эп.), 30 мин.","комедия, романтика, повседневность","c 15.06.2001 по 24.02.2002",7.4,2179
14,2249,"Сага об Амоне [Amon Saga]","полнометражный фильм, 72 мин.","приключения, фэнтези","19.07.1986",5.3,4656
15,52,"Арена ангелов [Angelic Layer]","ТВ (26 эп.), 25 мин.","приключения, комедия, фантастика","c 01.04.2001 по 30.09.2001",7.9,1020
16,885,"Яйцо ангела [Angel's Egg]","OVA (1 эп.), 75 мин.","фэнтези, драма","15.12.1985",7.9,1056
17,1303,"Аниматрица [The Animatrix]","OVA (9 эп.), 10 мин.","приключения, фантастика","03.06.2003",7.6,1603
18,404,"Ублюдок!! Сокрушитель тьмы [Bastard! Destroyer of Darkness]","OVA (6 эп.), 30 мин.","приключения, комедия, фэнтези","c 25.08.1992 по 25.06.1993",7.7,1316
19,1016,"Сны оружия [Battle Angel]","OVA (2 эп.), 30 мин.","приключения, фантастика, драма","c 21.06.1993 по 21.08.1993",8.0,866
20,1521,"Медицинские карты Чёрного Джека (фильм первый) []","полнометражный фильм, 93 мин.","приключения, драма","30.11.1996",7.2,2707
21,405,"Кровь: Последний вампир [Blood: the Last Vampire]","короткометражный фильм, 50 мин.","приключения, триллер, мистика","18.11.2000",6.9,3423
22,1051,"Последняя субмарина [Blue Submarine No.6]","OVA (4 эп.), 30 мин.","приключения, фантастика","c 25.10.1998 по 25.03.2000",7.4,2046
23,597,"Возвращение кота [The Cat Returns]","полнометражный фильм, 75 мин.","приключения, фэнтези","20.07.2002",8.2,534
24,59,"Чобиты [Chobits]","ТВ (26 эп. + спэшл), 25 мин.","романтика, комедия, фантастика, этти","c 03.04.2002 по 25.09.2002",8.3,353
25,5,"Ковбой Бибоп: Достучаться до небес [Cowboy Bebop: Knockin' on Heaven's Door]","полнометражный фильм, 114 мин.","приключения, фантастика","01.09.2001",8.6,137
26,1,"Ковбой Бибоп [Cowboy Bebop]","ТВ (26 эп. + эп.-коллаж), 25 мин.","приключения, комедия, драма, фантастика","c 03.04.1998 по 24.04.1999",9.0,15
27,1352,"Кибер-город Эдо 808 []","OVA (3 эп.), 45 мин.","приключения, фантастика, меха","c 21.06.1990 по 04.10.1991",7.7,1349
28,1494,"Тёмный мститель Дарксайд []","полнометражный фильм, 85 мин.","фантастика, драма","08.10.1994",6.8,3580
29,499,"Синдзюку - город-ад [Demon City Shinjuku]","OVA (1 эп.), 80 мин.","приключения, фэнтези, триллер","25.10.1988",7.1,2923
30,1151,"Доминион: Танковая полиция [Dominion Tank Police]","OVA (4 эп.), 40 мин.","приключения, комедия, фантастика","c 27.05.1988 по 11.08.1989",7.7,1527
31,3906,"H.P. Lovecraft no Dunwich Horror [H.P. Lovecraft's Dunwich Horror and Other Stories]","OVA (1 эп.), 46 мин.","ужасы","28.08.2007",6.9,3125
32,30,"Евангелион [Neon Genesis Evangelion]","ТВ (26 эп.), 25 мин.","драма, фантастика, меха","c 04.10.1995 по 27.03.1996",8.7,83
33,31,"Евангелион: Смерть и перерождение [Neon Genesis Evangelion: Death & Rebirth]","полнометражный фильм, 100 мин.","драма, фантастика, меха","15.03.1997",7.5,1891
34,32,"Конец Евангелиона [Neon Genesis Evangelion: The End of Evangelion]","полнометражный фильм, 90 мин.","драма, фантастика, меха","19.07.1997",8.5,167
35,71,"Стальная тревога! [Full Metal Panic!]","ТВ (24 эп.), 25 мин.","приключения, комедия, романтика, меха","c 08.01.2002 по 18.06.2002",8.3,378
36,1301,"Галактический экспресс 999 (фильм) [Galaxy Express 999 Movie]","полнометражный фильм, 130 мин.","фантастика, приключения, драма","04.08.1979",8.1,770
37,1833,"Гарага [Garaga]","полнометражный фильм, 100 мин.","приключения, фантастика","21.10.1989",5.6,4588
38,43,"Призрак в доспехах [Ghost in the Shell]","полнометражный фильм, 80 мин.","приключения, фантастика","18.11.1995",8.7,74
39,467,"Призрак в доспехах: Синдром одиночки [ТВ-1] [Ghost in the Shell: Stand Alone Complex]","ТВ (26 эп.), 25 мин.","приключения, фантастика, меха","c 01.10.2002 по 01.10.2003",8.7,81
40,268,"Золотой парень [Golden Boy]","OVA (6 эп.), 30 мин.","комедия, этти","c 27.10.1995 по 28.06.1996",8.6,117
41,578,"Могила светлячков [Grave of the Fireflies]","полнометражный фильм, 90 мин.","драма, повседневность","16.04.1988",8.8,31
42,387,"Союз Серокрылых []","ТВ (13 эп.), 25 мин.","повседневность, фэнтези, драма","c 10.10.2002 по 19.12.2002",8.6,118
43,650,"Оружейницы [Gunsmith Cats]","OVA (3 эп.), 30 мин.","приключения, комедия, детектив, этти","c 01.11.1995 по 01.09.1996",7.2,2796
44,319,"Счастливый мир! [Happy World!]","OVA (3 эп.), 30 мин.","комедия, романтика, фэнтези, этти","c 13.12.2002 по 27.06.2003",6.7,3719
45,270,"Хеллсинг: Война с нечистью [Hellsing]","ТВ (13 эп. + спэшл), 25 мин.","приключения, фэнтези, драма","c 11.10.2001 по 17.01.2002",8.2,502
46,743,"Здесь слышен океан [Ocean Waves]","полнометражный фильм, 72 мин.","романтика, повседневность","05.05.1993",7.8,1227
47,1084,"Айдзу OVA-1 [I''s]","OVA (2 эп.), 30 мин.","романтика, драма","c 09.12.2002 по 19.03.2003",5.7,4573
48,570,"Оборотни [Jin Roh: The Wolf Brigade]","полнометражный фильм, 100 мин.","драма, триллер, фантастика","17.11.1999",8.3,380
49,2524,"В джунгли! []","OVA (3 эп.), 25 мин.","комедия, приключения, этти, мистика","c 26.03.1997 по 26.09.1997",6.9,3217
50,512,"Ведьмина служба доставки [Kiki's Delivery Service]","полнометражный фильм, 112 мин.","приключения, комедия, драма, фэнтези","29.07.1989",8.5,168
51,513,"Небесный замок Лапута [Laputa: Castle in the Sky]","полнометражный фильм, 125 мин.","приключения, фэнтези, романтика","02.08.1986",8.5,195
52,97,"Изгнанник [ТВ-1] [Last Exile]","ТВ (26 эп.), 25 мин.","приключения, фантастика, драма","c 08.04.2003 по 30.09.2003",8.5,158
53,189,"Любовь и Хина [ТВ] [Love Hina]","ТВ (24 эп. + 2 спэшла), 25 мин.","романтика, комедия, этти, повседневность","c 19.04.2000 по 27.09.2000",7.9,909
54,190,"Снова любовь и Хина [Love Hina Again]","OVA (3 эп.), 30 мин.","романтика, комедия, этти","c 26.01.2002 по 27.03.2002",7.9,1060
55,191,"Любовь и Хина (рождественский спешл) []","ТВ-спэшл (1 эп.), 60 мин.","романтика, комедия, повседневность","25.12.2000",7.9,""
56,192,"Любовь и Хина (весенний спешл) []","ТВ-спэшл (1 эп.), 45 мин.","романтика, комедия","02.04.2001",7.6,""
57,1430,"Люпен III: Замок Калиостро (фильм второй) [Lupin III: The Castle of Cagliostro]","полнометражный фильм, 100 мин.","приключения, комедия","15.12.1979",7.9,1076
58,1462,"Воспоминания о будущем [Memories]","полнометражный фильм, 115 мин.","фантастика, драма, комедия","23.12.1995",7.9,892
59,522,"Метрополис [Metropolis]","полнометражный фильм, 107 мин.","приключения, фантастика, драма","26.05.2001",7.4,2156
60,1033,"Актриса тысячелетия [Millennium Actress]","полнометражный фильм, 90 мин.","триллер, романтика, драма","28.07.2001",8.5,192
61,415,"Наши соседи - семья Ямада [My Neighbors the Yamadas]","полнометражный фильм, 105 мин.","комедия, повседневность","17.07.1999",8.2,488
62,523,"Мой сосед Тоторо [My Neighbor Totoro]","полнометражный фильм, 88 мин.","приключения, комедия, фэнтези","16.04.1988",8.9,22
63,572,"Навсикая из Долины ветров [Nausicaa from the Valley of the Wind]","полнометражный фильм, 116 мин.","приключения, фэнтези","11.03.1984",8.7,66
64,800,"Ния под семёркой []","ТВ (13 эп.), 25 мин.","комедия, повседневность, фантастика","c 26.04.2000 по 19.07.2000",7.9,975
66,272,"Нуар [Noir]","ТВ (26 эп.), 25 мин.","приключения, драма","c 06.04.2001 по 28.09.2001",8.0,773
65,617,"Манускрипт ниндзя [Ninja Scroll]","полнометражный фильм, 92 мин.","приключения, фэнтези, романтика","05.06.1993",8.1,589
67,1029,"Ещё вчера [Only Yesterday]","полнометражный фильм, 120 мин.","повседневность","20.07.1991",8.1,615
68,437,"Идеальная грусть [Perfect Blue]","полнометражный фильм, 80 мин.","триллер, драма","28.02.1998",8.2,510
69,326,"Магазинчик ужасов [Pet Shop of Horrors]","ТВ (4 эп.), 25 мин.","мистика, триллер","c 02.03.1999 по 23.03.1999",8.0,700
70,599,"Компания по борьбе с духами [Phantom Quest Corp.]","OVA (4 эп. + спэшл), 30 мин.","приключения, комедия, мистика, детектив","c 25.08.1994 по 25.02.1995",7.6,1799
71,2793,"Жар-птица 2772: Космозона любви [Phoenix 2772]","полнометражный фильм, 122 мин.","фантастика, приключения, драма","15.03.1980",7.7,1571
72,1944,"Фотон: Приключения идиота [Photon]","OVA (6 эп.), 30 мин.","комедия, фантастика, приключения, этти","c 21.11.1997 по 18.02.1999",7.8,1177
73,2332,"Пластиковая малышка [Plastic Little: The Adventures of Captain Tita]","OVA (1 эп.), 48 мин.","комедия, приключения, фантастика, этти","21.03.1994",6.2,4391
74,195,"Пожалуйста! Учитель [ТВ] [Please Teacher!]","ТВ (12 эп. + спэшлы), 25 мин.","романтика, комедия, драма","c 10.01.2002 по 28.03.2002",8.2,467
75,1030,"Помпоко: Война тануки [Pom Poko]","полнометражный фильм, 120 мин.","комедия, драма, фэнтези","16.07.1994",8.0,748
76,416,"Порко Россо [Porco Rosso]","полнометражный фильм, 91 мин.","приключения, романтика, комедия","18.07.1992",8.3,313
77,164,"Принцесса Мононокэ [Princess Mononoke]","полнометражный фильм, 135 мин.","приключения, фэнтези, драма","12.07.1997",8.8,33
78,564,"Пуни Пуни Поэми [Puni Puni Poemy]","OVA (2 эп.), 30 мин.","комедия, махо-сёдзё, этти","c 07.03.2001 по 19.12.2001",7.3,2350
79,210,"Ранма 1/2 []","ТВ (161 эп.), 25 мин.","приключения, комедия, романтика, фэнтези","c 15.04.1989 по 25.09.1992",8.5,217
80,208,"Прочти или умри OVA []","OVA (3 эп.), 30 мин.","приключения, фантастика","c 23.05.2001 по 06.02.2002",7.5,1971
81,1181,"Исследователи руин [Ruin Explorers]","OVA (4 эп.), 30 мин.","приключения, комедия, фэнтези","c 25.06.1995 по 25.02.1996",7.6,1806
82,44,"Бродяга Кэнсин OVA-1 [Samurai X: Trust & Betrayal]","OVA (4 эп.), 30 мин.","приключения, романтика, драма","c 20.02.1999 по 22.09.1999",8.9,16
